Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
025-0010875,OPP-0000000159,2026-01-27,2026-01,Manuel Alvarez,SHOUGANG HIERRO PERU S.A.A.,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,2.0,1150.0,2300.0
026-0011388,OPP-0000000257,2026-03-30,2026-03,Arnold Hernández,PAN AMERICAN SILVER HUARON S.A.,SERVICIO REPARACION,92000001,,1.0,20690.0,20690.0
026-0011404,OPP-0000000175,2026-03-31,2026-03,Mercedes Quispe,BOSCH REXROTH S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,2110.0,2110.0
026-0011782,OPP-0000000216,2026-06-12,2026-06,Mercedes Quispe,MINSUR S. A.,OILCOOLER 16233721700 P / . COMPRESOR ATLAS COPCO GA315,40600277,Heatex,1.0,6805.0,5784.25
026-0011824,OPP-0000000179,2026-06-19,2026-06,Mercedes Quispe,"DISEÑO, INGENIERIA Y FABRICACION ESPECIALIZADA DE EQUIPOS Y MAQUINARIAS MINEROS S.A.C.- DIFESMAQ SAC",OTROS SERVICIOS,,,1.0,1990.0,1990.0
026-0011836,OPP-0000000212,2026-06-23,2026-06,Mercedes Quispe,MC CONTRATISTAS MINEROS S.A.C.,SERVICIO REPARACION,92000001,,1.0,8908.5,8908.5
026-0011894,OPP-0000000185,2026-07-01,2026-07,Mercedes Quispe,"DISEÑO, INGENIERIA Y FABRICACION ESPECIALIZADA DE EQUIPOS Y MAQUINARIAS MINEROS S.A.C.- DIFESMAQ SAC",SERVICIO REPARACION,92000001,,1.0,9865.0,9865.0
026-0011907,OPP-0000000183,2026-07-03,2026-07,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,SERVICIO REPARACION,92000001,,1.0,4950.0,4950.0
026-0011911,OPP-0000000165,2026-07-03,2026-07,Manuel Alvarez,OPP FILM S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,20500.0,20500.0
026-0011911,OPP-0000000165,2026-07-03,2026-07,Manuel Alvarez,OPP FILM S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,2950.0,2950.0
026-0011922,OPP-0000000169,2026-07-07,2026-07,Manuel Alvarez,ALIMENTOS CIELO SOCIEDAD ANONIMA CERRADA - ALI CI S.A.C.,JUNTA PLACA M10B-NBRB-C / RIB GASKET GPHE / 3900175607,40100091,Alfa Laval,75.0,32.8,2460.0
026-0011924,OPP-0000000187,2026-07-07,2026-07,Mercedes Quispe,MC CONTRATISTAS MINEROS S.A.C.,BASE DE SOPORTE P/MONTAJE RADIADOR P/CAT 7N-7988,20100164,RINTUSAC,2.0,93.5,187.0
026-0011924,OPP-0000000187,2026-07-07,2026-07,Mercedes Quispe,MC CONTRATISTAS MINEROS S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,320.0,320.0
026-0011924,OPP-0000000187,2026-07-07,2026-07,Mercedes Quispe,MC CONTRATISTAS MINEROS S.A.C.,SERVICIO REPARACION,92000001,,1.0,3990.0,3990.0
026-0011924,OPP-0000000187,2026-07-07,2026-07,Mercedes Quispe,MC CONTRATISTAS MINEROS S.A.C.,SERVICIO REPARACION,92000001,,1.0,3498.0,3498.0
026-0011930,OPP-0000000214,2026-07-08,2026-07,Mercedes Quispe,MC CONTRATISTAS MINEROS S.A.C.,SERVICIO REPARACION,92000001,,1.0,5950.0,5950.0
026-0011934,OPP-0000000189,2026-07-08,2026-07,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,420.0,420.0
026-0011948,OPP-0000000193,2026-07-11,2026-07,Mercedes Quispe,"DISEÑO, INGENIERIA Y FABRICACION ESPECIALIZADA DE EQUIPOS Y MAQUINARIAS MINEROS S.A.C.- DIFESMAQ SAC",OTROS SERVICIOS,,,1.0,2190.0,2190.0
026-0011967,OPP-0000000195,2026-07-14,2026-07,Mercedes Quispe,"DISEÑO, INGENIERIA Y FABRICACION ESPECIALIZADA DE EQUIPOS Y MAQUINARIAS MINEROS S.A.C.- DIFESMAQ SAC",SERVICIO REPARACION,92000001,,1.0,12650.0,12650.0
026-0011971,OPP-0000000171,2026-07-15,2026-07,Manuel Alvarez,OPP FILM S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,22780.0,22780.0
026-0011971,OPP-0000000171,2026-07-15,2026-07,Manuel Alvarez,OPP FILM S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,2950.0,2950.0
026-0011974,OPP-0000000011,2026-07-15,2026-07,Arnold Hernández,RECOLSA S A,SERVICIO MANTENIMIENTO,91000001,,1.0,1250.0,1187.5
026-0011974,OPP-0000000011,2026-07-15,2026-07,Arnold Hernández,RECOLSA S A,SERVICIO REPARACION,92000001,,1.0,8850.0,8407.5
026-0011988,OPP-0000000009,2026-07-16,2026-07,Manuel Alvarez,ALIMENTOS CIELO SOCIEDAD ANONIMA CERRADA - ALI CI S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,5400.0,5238.0
026-0011992,OPP-0000000031,2026-07-17,2026-07,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,SERVICIO REPARACION,92000001,,1.0,10670.0,9389.6
026-0011994,OPP-0000000037,2026-07-17,2026-07,Arnold Hernández,EMPRESA ADMINISTRADORA CERRO S.A.C.,ENFRIADOR DE ACEITE HTX0467 1.5HP AC C/ ESTRUC. INCL. CON. ,40600556,Heatex,1.0,3980.0,3980.0
026-0011996,OPP-0000000018,2026-07-20,2026-07,Manuel Alvarez,GRUPO DELCAR S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,5020.0,5020.0
026-0012011,OPP-0000000058,2026-07-22,2026-07,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,2350.0,2350.0
026-0012057,OPP-0000000087,2026-08-04,2026-08,Mercedes Quispe,CORPORACION CHINCHAY S.A.C.,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1232.0,1232.0
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,JUNTA PLACA M10M-NBRB-C / PEAK GASKET GPHE / 3900176907,40100094,Alfa Laval,71.0,42.23,2778.25
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,JUNTA PLACA M10M-NBRP-C / PEAK GASKET II GPHE / 390084017406,40100258,Alfa Laval,3.0,74.2,204.79
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,PLACA M10M1-316-0.5-4H MET.COMPLETE PLATE GPHE / 3672174003,40100097,Alfa Laval,68.0,149.12,8619.14
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,PLACA M10M2-316-0.6-0H MET.COMPLETE PLATE GPHE / 3673170076,40100092,Alfa Laval,3.0,163.2,447.98
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,PLACA M10M2-316-0.6-4H MET.COMPLETE PLATE GPHE / 3673170003,40100264,Alfa Laval,3.0,163.5,416.93
026-0012062,OPP-0000000091,2026-08-05,2026-08,Mercedes Quispe,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",JUNTA PLACA M15B-NBRP-C / PEAK GASKET GPHE / 3233018196,40100228,Alfa Laval,100.0,69.8,6980.0
026-0012071,OPP-0000000101,2026-08-07,2026-08,Arnold Hernández,RESEMIN S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,220.0,187.0
026-0012071,OPP-0000000101,2026-08-07,2026-08,Arnold Hernández,RESEMIN S.A.,SERVICIO REPARACION,92000001,,1.0,620.0,620.0
