RM_RF,Sede,F_RM,F_Ing_Desp,F_Desp,F_Rec_Ft,SPOT,Tasa,F_Emision,Dias_Cred,F_Vencimiento,Tipo_Doc,NroFactura,Cliente,USD,Detracc_Ret,Neto,Agenda,Canc_Pendiente,Estatus,Situacion,Fecha_Est_Pago,F_Pago,BCO,MON,Nro_Ope,Pago_Parcial,Pago_Total,Detrac_Ret_Pago,Factoring,Saldo_x_Cobrar,Dias_Planta,Dias_Desp,Dias_Sin_Fact,Dias_Mora,Dias_Cierre_RM,RR_VV,F_Pago_Comision,Rubro,T_Pedido,Nro_Semana,Anio,Sem_Pago,Detrac_SUNAT,Estado_Det_Ret,F_Fact,T_Cam_Fact,Detracci_USD,Verificacion_Det,Observaciones,Fecha_Ult_Mod_Manual,Usuario_Mod_Manual,Origen
025-0010908,LIMA,2026-01-13,2026-04-16,2026-04-16,,DET MANT,,2026-04-29,60,,FAC,F004-00001946,COMPAÑIA MINERA CHUNGAR S.A.C.,10258.92,,,,PENDIENTE,NORMAL,FECHA APROX. DESEMBOLSO,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.5200,,,,2026-04-16 07:58:55.157000,AsistenteContable1,1
026-0011435,LIMA,2026-04-22,2026-05-21,2026-05-21,,DET MANT,,2026-05-21,60,,FAC,F004-00002005,STRACON PERÚ S.A.,2077.40,,,,PENDIENTE,NORMAL,FECHA APROX. DESEMBOLSO,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.4100,,,,2026-04-16 07:58:55.157000,AsistenteContable1,1
026-0011833,LIMA,2026-06-22,2026-06-22,2026-06-22,,RET,,2026-06-25,30,,FAC,F004-00002089,SOFTYS PERU S.A.C.,2006.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,FABRIC.,,,,,,,,3.4250,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011871,LIMA,2026-06-26,2026-06-26,2026-06-26,,RET,,2026-06-26,30,,FAC,F004-00002092,FRESOMAC  S.A.C.,1453.76,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.4150,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011857,LIMA,2026-06-25,2026-06-26,2026-06-26,,VENTA,,2026-07-03,30,,FAC,F004-00002102,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,1888.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.4090,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011912,LIMA,2026-07-08,2026-07-09,2026-07-09,,RET,,2026-07-09,60,,FAC,F004-00002132,"DISEÑO, INGENIERIA Y FABRICACION ESPECIALIZADA DE EQUIPOS Y MAQUINARIAS MINEROS S.A.C.- DIFESMAQ SAC",7764.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,FABRIC.,,,,,,,,3.4120,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011484,LIMA,2026-07-07,2026-07-09,2026-07-09,,VENTA,,2026-07-09,30,,FAC,F004-00002135,HYSER PERU SOCIEDAD ANONIMA CERRADA - HYSER PERU S.A.C.,3410.20,,,,PENDIENTE,,,,2026-08-26,BBVA,USD,4185,2000.00,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.4120,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011920,LIMA,2026-07-10,,,,VENTA,,2026-07-18,30,,FAC,F004-00002152,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,944.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.4080,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011827,LIMA,2026-06-25,,,,DET MANT,,2026-07-18,30,,FAC,F004-00002154,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,826.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,SERVICIO,,,,,,,,3.4080,,,,2026-04-16 07:58:55.170000,AsistenteContable1,1
026-0011960,LIMA,2026-07-17,,,,RET,,2026-07-20,45,,FAC,F004-00002158,UNION DE CONCRETERAS S.A,1236.09,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,1.0000,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011941,LIMA,2026-07-20,,,,DET MANT,,2026-07-22,30,,FAC,F004-00002165,SERVICIOS MINEROS RF S.A.C.,4055.42,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,SERVICIO,,,,,,,,3.4030,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011880,LIMA,2026-07-06,,,,DET MANT,,2026-07-24,30,,FAC,F004-00002170,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,1014.80,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,SERVICIO,,,,,,,,3.4040,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011882,LIMA,2026-07-06,,,,DET MANT,,2026-07-24,30,,FAC,F004-00002171,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,1014.80,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,SERVICIO,,,,,,,,3.4040,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011920,LIMA,2026-07-10,,,,VENTA,,2026-07-24,30,,FAC,F004-00002172,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,944.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.4040,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011798,LIMA,2026-07-02,,,,RET,,2026-07-24,45,,FAC,F004-00002173,UNION DE CONCRETERAS S.A,1991.51,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,FABRIC.,,,,,,,,1.0000,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011896,LIMA,2026-07-01,,,,RET,,2026-07-24,45,,FAC,F004-00002174,UNION DE CONCRETERAS S.A,3986.49,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,1.0000,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011954,LIMA,2026-07-18,,,,VENTA,,2026-07-24,30,,FAC,F004-00002176,SISTEMAS CONVENCIONALES S.A.C.,1357.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.4040,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0011699,LIMA,2026-07-25,,,,RET,,2026-07-30,45,,FAC,F004-00002178,UNION DE CONCRETERAS S.A,0.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,FABRIC.,,,,,,,,1.0000,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0011374,LIMA,2026-07-13,,,,RET,,2026-07-30,60,,FAC,F004-00002181,NEXA RESOURCES PERU S.A.A.,6313.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012006,LIMA,2026-07-31,,,,RET,,2026-07-31,60,,FAC,F004-00002184,MAQPOWER S.A.C.,6136.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,FABRIC.,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012002,LIMA,2026-07-21,,,,RET,,2026-07-31,60,,FAC,F004-00002185,MAQPOWER S.A.C.,8024.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,FABRIC.,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012033,LIMA,2026-07-31,,,,VENTA,,2026-07-31,7,,FAC,F004-00002186,KYAN INGENIERIA Y MONTAJES S.A.C.,1923.11,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mario Li,,FABRIC.,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0011704,LIMA,2026-05-28,,,,RET,,2026-07-31,30,,FAC,F004-00002188,ROBOCON SERVICIOS S.A.C.,1156.40,,,,PENDIENTE,,,,2026-08-13,BCP,USD,9679945,,583.75,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012029,LIMA,2026-08-03,,,,RET,,2026-08-07,60,,FAC,F004-00002193,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,1994.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0012026,LIMA,2026-07-27,,,,VENTA,,2026-08-07,30,,FAC,F004-00002196,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,1640.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011554,LIMA,2026-08-04,,,,RET,,2026-08-07,45,,FAC,F004-00002200,RESEMIN S.A.,9430.56,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011940,LIMA,2026-08-04,,,,DET MANT,,2026-08-10,30,,FAC,F004-00002203,SERVICIOS MINEROS RF S.A.C.,8570.69,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,SERVICIO,,,,,,,,3.3910,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011424,LIMA,2026-04-11,,,,VENTA,,2026-08-10,60,,FAC,F004-00002206,STRACON PERÚ S.A.,7563.80,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,FABRIC.,,,,,,,,3.3910,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0012028,LIMA,2026-08-01,,,,RET,,2026-08-11,60,,FAC,F004-00002207,VOLCAN COMPANIA MINERA S.A.A.,3374.95,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,1.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011875,LIMA,2026-07-01,,,,RET,,2026-08-11,60,,FAC,F004-00002208,VOLCAN COMPANIA MINERA S.A.A.,6970.85,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3870,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0012054,LIMA,2026-08-07,,,,RET,,2026-08-11,60,,FAC,F004-00002209,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,4180.03,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3870,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
026-0012049,LIMA,2026-08-05,,,,RET,,2026-08-11,45,,FAC,F004-00002210,UNION DE CONCRETERAS S.A,1734.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,3.3870,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
