NroFactura,N_Cotizacion,Cod_OPP,F_Emision,Periodo,Anio,Mes,Cliente,Vendedor,Sector,Producto,Codigo,Marca,Tipo_Venta,Cantidad,Moneda,Tipo_Cambio,Monto_USD,Tipo_Transaccion
F 004-00002311,026-0012015,OPP-0000000065,14/09/2026,2026-09,2026,9,INDUSTRIA ESPECIALIZADA Y REPRESENTACIONES SOCIEDAD ANONIMA CERRADA,Jeancarlos Castillo,Servicios / Otros,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,Comercializacion,3.0,USD,3.371,3720.0,VENTA
F 004-00002310,026-0012255,OPP-0000000393,12/09/2026,2026-09,2026,9,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,Construcción / EPC / Contratistas,"ENFRIADOR SIST. ACEITE T/ PLACAS CAT R1600H, 10PL (copiar)",40600398,Heatex,Comercializacion,1.0,USD,3.371,2980.0,VENTA
F 004-00002309,026-0012251,OPP-0000000389,12/09/2026,2026-09,2026,9,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,Construcción / EPC / Contratistas,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,Comercializacion,1.0,USD,3.371,1360.0,VENTA
F 004-00002308,026-0012213,OPP-0000000337,12/09/2026,2026-09,2026,9,TP INTERCAMBIADORES S.A.C.,Rintusac,Metalmecánica / Siderurgia,INTERCAMBIADOR SOLDADO DOC30-50H-F BPHE / 3287193999,40100302,Alfa Laval,Comercializacion,1.0,USD,3.371,1244.5,VENTA
F 004-00002307,026-0011964,OPP-0000000089,12/09/2026,2026-09,2026,9,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,Mercedes Quispe,Mining,ENFRIADOR DE ACEITE PARA COMPRESORA ATLAS COPCO GA280 (NP: 1092116720),40600594,Heatex,Comercializacion,1.0,USD,3.371,6370.0,VENTA
F 004-00002306,026-0011972,OPP-0000000008,11/09/2026,2026-09,2026,9,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,Mining,ENFRIADOR DE AIRE BAP P/DUMPER EPIROC MT2200 6060007954,40600508,Heatex,Comercializacion,1.0,USD,3.373,4003.5,VENTA
F 004-00002306,026-0011972,OPP-0000000008,11/09/2026,2026-09,2026,9,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,Mining,ENFRIADOR DE ACEITE BAP P/DUMPER EPIROC MT2200 6060007953,40600507,Heatex,Comercializacion,1.0,USD,3.373,5720.0,VENTA
F 004-00002305,026-0012186,OPP-0000000309,11/09/2026,2026-09,2026,9,VOLCAN COMPANIA MINERA S.A.A.,Arnold Hernández,Mining,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,Comercializacion,1.0,USD,3.373,2363.0,VENTA
F 004-00002304,026-0011993,OPP-0000000028,11/09/2026,2026-09,2026,9,FAMAX SEAL PERU S.A.C,Manuel Alvarez,Servicios / Otros,SERVICIO MANTENIMIENTO,91000001,,Mantenimiento,1.0,USD,3.373,954.0,VENTA
F 004-00002303,026-0012205,OPP-0000000329,10/09/2026,2026-09,2026,9,ROBOCON SERVICIOS S.A.C.,Jeancarlos Castillo,Servicios / Otros,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,Comercializacion,1.0,USD,3.362,980.0,VENTA
F 004-00002302,026-0012234,OPP-0000000374,09/09/2026,2026-09,2026,9,RESEMIN S.A.,Rintusac,Metalmecánica / Siderurgia,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,Comercializacion,1.0,USD,3.36,450.0,VENTA
F 004-00002301,026-0012198,OPP-0000000320,09/09/2026,2026-09,2026,9,RESEMIN S.A.,Rintusac,Metalmecánica / Siderurgia,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,Comercializacion,1.0,USD,3.36,450.0,VENTA
F 004-00002300,026-0012215,OPP-0000000340,09/09/2026,2026-09,2026,9,GEOTECH DRILLING PRODUCTS S.A.C.,Mercedes Quispe,Servicios / Otros,ENFRIADOR DE ACEITE HIDRAULICO PARKER (A539011),40600301,Heatex,Comercializacion,1.0,USD,3.36,460.0,VENTA
F 004-00002299,026-0012070,OPP-0000000098,09/09/2026,2026-09,2026,9,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,Jeancarlos Castillo,Servicios / Otros,SERVICIO REPARACION,92000001,,Mantenimiento,1.0,USD,3.36,1840.0,VENTA
F 004-00002298,026-0012180,OPP-0000000304,08/09/2026,2026-09,2026,9,FRESOMAC  S.A.C.,Arnold Hernández,Metalmecánica / Siderurgia,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,Comercializacion,1.0,USD,3.372,1232.0,VENTA
F 004-00002297,026-0012235,OPP-0000000375,08/09/2026,2026-09,2026,9,L & M REPUESTOS Y SUMINISTROS S.A.C.,Arnold Hernández,Servicios / Otros,HAZ TUBULAR BOWMAN FG120 TUBO COBRE BAFLE / AL,40200071,Bowman,Comercializacion,2.0,USD,3.372,1564.0,VENTA
F 004-00002297,026-0012235,OPP-0000000375,08/09/2026,2026-09,2026,9,L & M REPUESTOS Y SUMINISTROS S.A.C.,Arnold Hernández,Servicios / Otros,ORING NITRILO 2-349 ( Ø5.33 * 113.67) FG120,10240115,Bowman,Comercializacion,4.0,USD,3.372,34.0,VENTA
F 004-00002296,026-0011839,OPP-0000000362,08/09/2026,2026-09,2026,9,RESEMIN S.A.,Rintusac,Metalmecánica / Siderurgia,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,Comercializacion,8.0,USD,3.372,8560.0,VENTA
F 004-00002295,026-0012190,OPP-0000000313,07/09/2026,2026-09,2026,9,L & G INTERNATIONAL PARTS S.A.C.,Rintusac,Automotriz / Transporte,SERVICIO DE FABRICACION (copiar),90000012,Otros,Mantenimiento,99.3,USD,3.369,662.84,VENTA
F 004-00002294,026-0012228,OPP-0000000359,07/09/2026,2026-09,2026,9,ARNAO SERVICES S.A.C,Rintusac,Metalmecánica / Siderurgia,MOTOR HTX0367 1.75HP AC IP66 (copiar),40600373,Heatex,Comercializacion,125.0,USD,3.369,1000.0,VENTA
F 004-00002293,026-0012183,OPP-0000000306,05/09/2026,2026-09,2026,9,HYDROMINING GROUP S.A.C.,Arnold Hernández,Mining,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,Comercializacion,2.0,USD,3.369,2552.55,VENTA
F 004-00002293,026-0012183,OPP-0000000306,05/09/2026,2026-09,2026,9,HYDROMINING GROUP S.A.C.,Arnold Hernández,Mining,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,Comercializacion,1.0,USD,3.369,590.0,VENTA
