Nro_RM,Estado_RM,Tipo_Costo,Fecha_Inicio,Fecha_Fin,Cod_OPP,Cotizacion,Nro_Factura,Producto_Final,Qty_Producir,Cliente,Comercial,TC,Costo_Orden_PEN,Costo_Real_PEN,Costo_Orden_USD,Costo_Real_USD,Tipo,Codigo,Descripcion,UdM,Qty_Plan,Qty_Real,Linea_Costo_Orden_PEN,Linea_Costo_Real_PEN,Linea_Costo_Orden_USD,Linea_Costo_Real_USD
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10520090,DESENGRASANTE EMULSIONABLE SQP-795 ,gal (US),5.0,5.0,309.22,309.22,91.81,91.81
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,40600414,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),Units,1.0,1.0,3193.75,3193.75,948.26,948.26
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,40600415,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),Units,1.0,1.0,2943.39,2943.39,873.93,873.93
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,40600416,RADIADOR DE REFRIGERANTE 853695 P/. DESATADOR PAUS PSCALE 8T (copiar),Units,1.0,1.0,1378.66,1378.66,409.34,409.34
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10460179,PERNO HEXAGONAL FIERRO NEGRO G-8 UNC M08 * 20,Units,14.0,14.0,2.75,2.75,0.82,0.82
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10460026,ARANDELA PLANA ACERO INOXIDABLE 304 M08,Units,14.0,14.0,1.21,1.21,0.36,0.36
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10460045,ARANDELA PRESION FIERRO NEGRO G-8 M08,Units,14.0,14.0,0.43,0.43,0.13,0.13
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10220105,"LISTON MADERA CATAHUA 1"" x 4"" X 10┤",Units,10.0,10.0,164.26,164.26,48.77,48.77
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10220011,"LISTON MADERA COPAHIBA 1 3/4"" * 3 1/2"" * 8┤",Units,1.0,1.0,45.37,45.37,13.47,13.47
RM-24364,Terminado,Real,2026-05-04,2026-08-05,,026-0011533,F 004-00002229,[51002969] RADIADOR COMPLETO 843653 P/DESATADOR PAUS PSCALE 8T SOLPED 1300058231,1.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,3.368,8252.27,8252.27,2450.2,2450.2,Componente,10220005,CARTON CORRUGADO ROLLO 1.64 MT X 50 KG=5 (6 METROS),kg,1.575,1.575,9.18,9.18,2.73,2.73
