Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0011210,,2026-09-11,2026-09,Mercedes Quispe,DRILLING CORP S.A.C.,Confirmada,ENFRIADOR DE ACEITE P/ COMPRESOR GARDNER DENVER CT10,40600568,Heatex,3.0,360.0,1080.0
026-0011211,,2026-09-11,2026-09,Mercedes Quispe,CORPORACION CHINCHAY S.A.C.,Confirmada,ENFRIADOR DE ACEITE P/ COMPRESOR GARDNER DENVER CT10,40600568,Heatex,2.0,360.0,720.0
026-0011452,OPP-0000000276,2026-08-27,2026-08,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,Confirmada,SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,1.0,420.0,420.0
026-0011453,OPP-0000000292,2026-08-26,2026-08,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,320.0,320.0
026-0011554,,2026-08-04,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Confirmada,ENFRIADOR DE ACEITE HIDRAULICO PARKER 016 (A539016) (copiar),40600330,Heatex,4.0,1998.0,7992.0
026-0011591,OPP-0000000355,2026-08-14,2026-08,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3 (3P),40200016,Bowman,1.0,1290.0,1290.0
026-0011706,OPP-0000000358,2026-08-13,2026-08,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,20.0,1070.0,21400.0
026-0011763,OPP-0000000155,2026-08-25,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Confirmada,ENFRIADOR DE ACEITE P/ COMPRESOR WETKRET 4,40600595,Heatex,1.0,1690.0,1690.0
026-0011823,OPP-0000000032,2026-08-05,2026-08,Arnold Hernández,PESQUERA HAYDUK S.A.,Confirmada,INTERCAMBIADOR DE CALOR GPHE ALFA LAVAL T10-BFM 69PL-TI- 0.5-NBRB,40100813,,1.0,22400.0,22400.0
026-0011829,OPP-0000000352,2026-09-07,2026-09,Manuel Alvarez,METAL TECNICA S A,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,355.0,355.0
026-0011831,OPP-0000000206,2026-08-17,2026-08,Arnold Hernández,RESEMIN S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,795.0,795.0
026-0011839,OPP-0000000362,2026-08-13,2026-08,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,8.0,1070.0,8560.0
026-0011840,OPP-0000000253,2026-09-03,2026-09,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR SISTEMA DE ACEITE P / C4.4 P / N.HTX- 656549 -91 v4,40600164,Heatex,25.0,800.0,20000.0
026-0011844,OPP-0000000151,2026-08-18,2026-08,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,4709.75,4709.75
026-0011844,OPP-0000000151,2026-08-18,2026-08,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,1250.0,1250.0
026-0011844,OPP-0000000151,2026-08-18,2026-08,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,3450.0,3450.0
026-0011848,OPP-0000000364,2026-08-11,2026-08,Rintusac,INTERCAMBIADORES BALVIN S.R.L.,Confirmada,ENFRIADOR SISTEMA DE ACEITE HEATEX P / N. 133-0125,40600119,Heatex,1.0,1140.0,1140.0
026-0011881,OPP-0000000240,2026-08-24,2026-08,Arnold Hernández,KANAY S.A.C.,Confirmada,INTERCAMBIADOR SOLDADO CB200-90M BPHE / 3287085089,40100815,,1.0,12120.0,12120.0
