Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Vendedor,Equipo,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
29/08/2026,8,2026,2026-08,E001-1243,026-0011881,OPP-0000000240,,KANAY S.A.C.,Petroquímica / Química,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.356,3636.0,3636.0,0.0,0.0,12202.42,1083.43,
31/08/2026,8,2026,2026-08,E001-1244,026-0012187,OPP-0000000310,,RADIADORES ARNAO INDUSTRIAL S.A.C,Servicios / Otros,Rintusac,VENTAS-MANTENIMIENTO,USD,3.356,560.0,560.0,0.0,0.0,1879.36,166.87,
07/08/2026,8,2026,2026-08,F 004-00002193,026-0012029,,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,0.0,1690.0,404.22,1285.78,0.7608,0.0,0.0,
07/08/2026,8,2026,2026-08,F 004-00002194,026-0012048,OPP-0000000210,,METALTEC ENGENEERING STEELS E.I.R.L.,Metalmecánica / Siderurgia,Manuel Alvarez,VENTAS-MANTENIMIENTO,USD,0.0,47.0,17.89,29.11,0.6194,0.0,0.0,
07/08/2026,8,2026,2026-08,F 004-00002196,026-0012026,OPP-0000000074,,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,0.0,1390.0,389.07,1000.93,0.7201,0.0,0.0,
07/08/2026,8,2026,2026-08,F 004-00002197,026-0011774,,RM-24503,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,0.0,476.0,0.0,476.0,1.0,0.0,123.07,
07/08/2026,8,2026,2026-08,F 004-00002198,026-0011945,OPP-0000000020,RM-24605,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,0.0,825.0,0.0,825.0,1.0,0.0,211.15,
07/08/2026,8,2026,2026-08,F 004-00002200,026-0011554,,RM-24633,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,0.0,7992.0,0.0,7992.0,1.0,0.0,14071.92,
07/08/2026,8,2026,2026-08,F 004-00002201,026-0012055,OPP-0000000369,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-FABRICACION,USD,0.0,8000.0,2929.66,5070.34,0.6338,0.0,0.0,
10/08/2026,8,2026,2026-08,F 004-00002203,026-0011940,OPP-0000000062,RM-24599,SERVICIOS MINEROS RF S.A.C.,Mining,Manuel Alvarez,VENTAS-COMERCIALIZACION,USD,3.391,7263.3,2056.53,5206.77,0.7169,24629.85,6973.7,
10/08/2026,8,2026,2026-08,F 004-00002204,026-0011990,OPP-0000000038,,VPTM IQUITOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.391,340.0,0.0,340.0,1.0,1152.94,0.0,
10/08/2026,8,2026,2026-08,F 004-00002206,026-0011424,,,STRACON PERÚ S.A.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.391,6410.0,2303.73,4106.27,0.6406,21736.31,679.37,
11/08/2026,8,2026,2026-08,F 004-00002207,026-0012028,OPP-0000000072,,VOLCAN COMPANIA MINERA S.A.A.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,PEN,3.387,2860.12,611.83,2248.29,0.7861,9687.23,180.64,
11/08/2026,8,2026,2026-08,F 004-00002208,026-0011875,,RM-24578,VOLCAN COMPANIA MINERA S.A.A.,Mining,Arnold Hernández,VENTAS-FABRICACION,USD,3.387,5907.5,1370.34,4537.16,0.768,20008.7,4641.33,
11/08/2026,8,2026,2026-08,F 004-00002209,026-0012054,OPP-0000000086,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.387,3542.4,939.34,2603.06,0.7348,11998.11,277.34,
11/08/2026,8,2026,2026-08,F 004-00002210,026-0012049,OPP-0000000077,,UNION DE CONCRETERAS S.A,Construcción / EPC / Contratistas,Manuel Alvarez,VENTAS-COMERCIALIZACION,USD,3.387,1470.0,429.04,1040.96,0.7081,4978.89,126.67,
12/08/2026,8,2026,2026-08,F 004-00002211,026-0011835,,RM-24562,ADMINISTRACION DE EMPRESAS S.A.C.,IT/Communication,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.372,6072.0,1899.39,4172.61,0.6872,20474.78,6404.75,
12/08/2026,8,2026,2026-08,F 004-00002212,026-0012031,OPP-0000000115,RM-24626,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.372,2938.54,628.9,2309.64,0.786,9908.76,2120.64,
12/08/2026,8,2026,2026-08,F 004-00002213,,,,VPTM IQUITOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.372,3400.0,3400.0,0.0,0.0,11464.8,1008.3,
12/08/2026,8,2026,2026-08,F 004-00002214,026-0011848,OPP-0000000364,,INTERCAMBIADORES BALVIN S.R.L.,Metalmecánica / Siderurgia,Rintusac,VENTAS-FABRICACION,USD,3.372,1140.0,353.91,786.09,0.6896,3844.08,104.96,
12/08/2026,8,2026,2026-08,F 004-00002215,026-0012075,OPP-0000000113,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.372,2363.0,1104.31,1258.69,0.5327,7968.04,327.49,
12/08/2026,8,2026,2026-08,F 004-00002216,026-0011951,OPP-0000000005,RM-24606,XIAN BUSINESS CORPORATION S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.372,1850.0,14.94,1835.06,0.9919,6238.2,50.39,
13/08/2026,8,2026,2026-08,F 004-00002217,026-0012051,,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,3.365,1080.0,406.86,673.14,0.6233,3634.2,120.91,
13/08/2026,8,2026,2026-08,F 004-00002218,026-0012052,OPP-0000000083,RM-24632,MINERA CRC SOCIEDAD ANONIMA CERRADA,Mining,Manuel Alvarez,VENTAS-MANTENIMIENTO,USD,3.365,727.5,132.23,595.27,0.8182,2448.04,444.96,
13/08/2026,8,2026,2026-08,F 004-00002219,026-0011965,,,UNION DE CONCRETERAS S.A,Construcción / EPC / Contratistas,Manuel Alvarez,VENTAS-COMERCIALIZACION,USD,3.365,1470.0,430.18,1039.82,0.7074,4946.55,127.84,
13/08/2026,8,2026,2026-08,F 004-00002220,025-0010889,,,UNION DE CONCRETERAS S.A,Construcción / EPC / Contratistas,Manuel Alvarez,VENTAS-FABRICACION,USD,3.365,1470.0,432.99,1037.01,0.7054,4946.55,128.67,
