Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Cod_Producto,Producto,Categoria,Marca,Vendedor,Equipo,Cantidad,Precio_Unit,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
29/08/2026,8,2026,2026-08,E001-1243,026-0011881,OPP-0000000240,,KANAY S.A.C.,Petroquímica / Química,,ANTICIPO -VENTA DE INTERCAMBIADOR SOLDADO CB200-90M BPHE / 3287085089,,,Arnold Hernández,VENTAS-MANTENIMIENTO,1.0,3636.0,USD,3.356,3636.0,3636.0,0.0,0.0,12202.42,1083.43,7012100 Mercaderías - Mercaderías - venta local - Terceros
31/08/2026,8,2026,2026-08,E001-1244,026-0012187,OPP-0000000310,,RADIADORES ARNAO INDUSTRIAL S.A.C,Servicios / Otros,,"Anticipo - JEBE DESMONT. CENTRAL TIPO ""M"" MACHO HEATEX N / P 800829 * 14.88""",,,Rintusac,VENTAS-MANTENIMIENTO,28.0,20.0,USD,3.356,560.0,560.0,0.0,0.0,1879.36,166.87,7012100 Mercaderías - Mercaderías - venta local - Terceros
07/08/2026,8,2026,2026-08,F 004-00002193,026-0012029,,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,40600311,RADIADOR REFRIGERANTE P/CAT C6.6 365-2909 BAP C/ALEROS,ORIGINAL / HEATEX / RADIADORES,Heatex,Arnold Hernández,VENTAS-COMERCIALIZACION,1.0,1690.0,USD,0.0,1690.0,404.22,1285.78,0.7608,0.0,0.0,7011100 Mercaderías - Mercaderías - venta de exportación - Terceros
07/08/2026,8,2026,2026-08,F 004-00002194,026-0012048,OPP-0000000210,,METALTEC ENGENEERING STEELS E.I.R.L.,Metalmecánica / Siderurgia,40600512,SELLO DESMONT. C / CANAL AGUA-AIRE-ACEITE HEATEX,ORIGINAL / HEATEX / SELLOS DESMONTABLES,Heatex,Manuel Alvarez,VENTAS-MANTENIMIENTO,10.0,2.35,USD,0.0,23.5,8.95,14.55,0.6191,0.0,0.0,7111010 Variacion productos terminados
07/08/2026,8,2026,2026-08,F 004-00002194,026-0012048,OPP-0000000210,,METALTEC ENGENEERING STEELS E.I.R.L.,Metalmecánica / Siderurgia,40600513,SELLO DESMONT. S / CANAL AGUA-AIRE-ACEITE HEATEX,ORIGINAL / HEATEX / SELLOS DESMONTABLES,Heatex,Manuel Alvarez,VENTAS-MANTENIMIENTO,10.0,2.35,USD,0.0,23.5,8.95,14.55,0.6191,0.0,0.0,7111010 Variacion productos terminados
07/08/2026,8,2026,2026-08,F 004-00002196,026-0012026,OPP-0000000074,,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Servicios / Otros,40600530,RADIADOR DE REFRIGERANTE C4.4 V02/ COMPLETO CON TINA C/ALERO			 ,ORIGINAL / HEATEX / RADIADORES,Heatex,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,1.0,1390.0,USD,0.0,1390.0,389.07,1000.93,0.7201,0.0,0.0,7011100 Mercaderías - Mercaderías - venta de exportación - Terceros
07/08/2026,8,2026,2026-08,F 004-00002197,026-0011774,,RM-24503,RESEMIN S.A.,Metalmecánica / Siderurgia,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Rintusac,VENTAS-MANTENIMIENTO,1.0,476.0,USD,0.0,476.0,0.0,476.0,1.0,0.0,123.07,7032110 Servicio de reparación
07/08/2026,8,2026,2026-08,F 004-00002198,026-0011945,OPP-0000000020,RM-24605,RESEMIN S.A.,Metalmecánica / Siderurgia,91000001,SERVICIO MANTENIMIENTO,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Rintusac,VENTAS-MANTENIMIENTO,1.0,825.0,USD,0.0,825.0,0.0,825.0,1.0,0.0,211.15,7032100 Servicio de mantenimiento
07/08/2026,8,2026,2026-08,F 004-00002200,026-0011554,,RM-24633,RESEMIN S.A.,Metalmecánica / Siderurgia,40600330,ENFRIADOR DE ACEITE HIDRAULICO PARKER 016 (A539016) (copiar),ORIGINAL / HEATEX / ENFRIADORES,Heatex,Rintusac,VENTAS-MANTENIMIENTO,4.0,1998.0,USD,0.0,7992.0,0.0,7992.0,1.0,0.0,14071.92,7012100 Mercaderías - Mercaderías - venta local - Terceros
07/08/2026,8,2026,2026-08,F 004-00002201,026-0012055,OPP-0000000369,,RESEMIN S.A.,Metalmecánica / Siderurgia,40600164,ENFRIADOR SISTEMA DE ACEITE P / C4.4 P / N.HTX- 656549 -91 v4,ORIGINAL / HEATEX / ENFRIADORES,Heatex,Rintusac,VENTAS-FABRICACION,10.0,800.0,USD,0.0,8000.0,2929.66,5070.34,0.6338,0.0,0.0,7012100 Mercaderías - Mercaderías - venta local - Terceros
