Codigo,Cotizaciones,Equipo,Oportunidad,Cliente,Vendedor,Etiquetas,Etapa,Estado,Probabilidad_Pct,Monto_Esperado,Monto_Ponderado,Fecha_Cierre_Esp,Periodo_Cierre,Fecha_Creacion,Motivo_Perdida,Fecha_Perdida
OPP-0000000290,026-0012163,VENTAS-MANTENIMIENTO,RADIADOR COMPLETO C4.4 CHUNGAR,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,RESEMIN,APROBADA,GANADA,100.0,3400.0,3400.0,2026-09-30,2026-09,2026-08-28,,
OPP-0000000289,026-0012162,VENTAS-MANTENIMIENTO,AFTERCOOLER R1600H CHUNGAR,COMPAÑIA MINERA CHUNGAR S.A.C.,Arnold Hernández,CAT,APROBADA,GANADA,100.0,3500.0,3500.0,2026-09-30,2026-09,2026-08-28,,
OPP-0000000263,026-0012139,VENTAS-MANTENIMIENTO,BOWMAN FG120 RESEMIN,RESEMIN S.A.,Arnold Hernández,BOWMAN,APROBADA,GANADA,100.0,200.0,200.0,2026-09-30,2026-09,2026-08-25,,
OPP-0000000248,026-0012122,VENTAS-MANTENIMIENTO,EVALUACION BOWMAN FG120,MINERA GIGANTE SRL.,Arnold Hernández,BOWMAN,APROBADA,GANADA,100.0,120.0,120.0,2026-08-20,2026-08,2026-08-21,,
OPP-0000000242,026-0012127,VENTAS-MANTENIMIENTO,ENFRIADOR HIDRAULICO PARKER 016 OMISAP,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,PAUS,APROBADA,GANADA,100.0,250.0,250.0,2026-08-27,2026-08,2026-08-21,,
OPP-0000000228,026-0012115,VENTAS-MANTENIMIENTO,ENFRIADOR DERUI SAN PEDRO,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,DERUI,APROBADA,GANADA,100.0,1200.0,1200.0,2026-08-24,2026-08,2026-08-19,,
OPP-0000000206,026-0011831,VENTAS-MANTENIMIENTO,MANTTO BOWMAN FG120 RESEMIN,RESEMIN S.A.,Arnold Hernández,RESEMIN,APROBADA,GANADA,100.0,807.0,807.0,2026-08-25,2026-08,2026-08-15,,
OPP-0000000153,026-0012023,VENTAS-MANTENIMIENTO,MANTTO R1300G PAN AMERICAN,PAN AMERICAN SILVER HUARON S.A.,Arnold Hernández,CAT,APROBADA,GANADA,100.0,4000.0,4000.0,2026-08-25,2026-08,2026-08-15,,
OPP-0000000151,026-0011844,VENTAS-MANTENIMIENTO,REPARACION AESA CHUNGAR,ADMINISTRACION DE EMPRESAS S.A.C.,Arnold Hernández,AFTERMARKET,APROBADA,GANADA,100.0,9000.0,9000.0,2026-09-30,2026-09,2026-08-15,,
OPP-0000000123,026-0012088,VENTAS-MANTENIMIENTO,ENFRIADOR ACEITE R1600H MANTTO,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,CAT,APROBADA,GANADA,100.0,350.0,350.0,2026-09-30,2026-09,2026-08-13,,
OPP-0000000116,026-0012078,VENTAS-MANTENIMIENTO,ENFRIADOR ACEITE MANTTO,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,BOWMAN,APROBADA,GANADA,100.0,1000.0,1000.0,2026-08-21,2026-08,2026-08-11,,
OPP-0000000115,026-0012031,VENTAS-MANTENIMIENTO,R1300G MANTTO,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,CAT,APROBADA,GANADA,100.0,2000.0,2000.0,2026-08-12,2026-08,2026-08-11,,
OPP-0000000100,026-0011785,VENTAS-MANTENIMIENTO,SERVICIO MANTENIMIENTO MULTIPLES DE ESCAPE 3516 #01,PESQUERA DIAMANTE S.A.,Arnold Hernández,CAT,APROBADA,GANADA,100.0,3140.0,3140.0,2026-07-20,2026-07,2026-08-07,,
OPP-0000000099,026-0011825,VENTAS-MANTENIMIENTO,SERVICIO MANTENIMIENTO ENFRIADOR BOWMAN 3 PASOS 64HP A 200LPM ,RESEMIN S.A.,Arnold Hernández,RESEMIN,APROBADA,GANADA,100.0,384.0,384.0,2026-07-20,2026-07,2026-08-07,,
OPP-0000000027,026-0011944,VENTAS-MANTENIMIENTO,ENFRIADOR ACEITE BOWMAN FG120,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,BOWMAN,APROBADA,GANADA,100.0,935.0,935.0,2026-07-21,2026-07,2026-07-17,,
OPP-0000000026,026-0011932,VENTAS-MANTENIMIENTO,RADIADOR R1300G BAP,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,CAT,APROBADA,GANADA,100.0,1003.0,1003.0,2026-07-22,2026-07,2026-07-17,,
OPP-0000000020,026-0011945,VENTAS-MANTENIMIENTO,REPARACION RADIADOR C4.4,RESEMIN S.A.,Arnold Hernández,RESEMIN,APROBADA,GANADA,100.0,825.0,825.0,2026-08-07,2026-08,2026-07-16,,
OPP-0000000001,026-0011923,VENTAS-MANTENIMIENTO,Reparación radiador R1300G,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,CAT,APROBADA,GANADA,100.0,6034.56,6034.56,2026-07-14,2026-07,2026-07-14,,
OPP-0000000393,026-0012255,VENTAS-COMERCIALIZACION,ENFRIADOR ACEITE S7D - JRC ,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,EPIROC,ORDEN CONFIRMADA,GANADA,100.0,2980.0,2980.0,2026-09-18,2026-09,2026-09-10,,
OPP-0000000406,026-0012267,VENTAS-COMERCIALIZACION,ENFRIADOR S1D OMISAP,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Arnold Hernández,EPIROC,ORDEN CONFIRMADA,GANADA,100.0,1200.0,1200.0,2026-09-30,2026-09,2026-09-14,,
OPP-0000000389,026-0012251,VENTAS-COMERCIALIZACION,FG120 JRC,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,RESEMIN,ORDEN CONFIRMADA,GANADA,100.0,1380.0,1380.0,2026-09-18,2026-09,2026-09-10,,
OPP-0000000375,026-0012235,VENTAS-COMERCIALIZACION,HAZ TUBULAR FG120 L&M,L & M REPUESTOS Y SUMINISTROS S.A.C.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,1500.0,1500.0,2026-09-30,2026-09,2026-09-07,,
OPP-0000000367,026-0012230,VENTAS-COMERCIALIZACION,ENFRIADOR ACEITE 8T JRC,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,PAUS,ORDEN CONFIRMADA,GANADA,100.0,3500.0,3500.0,2026-09-30,2026-09,2026-09-07,,
OPP-0000000321,026-0012199,VENTAS-COMERCIALIZACION,ENFRIADORES BOWMAN FG120 GL140 JRC,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,3000.0,3000.0,2026-09-30,2026-09,2026-09-02,,
OPP-0000000309,026-0012186,VENTAS-COMERCIALIZACION,BOWMAN GL140 VOLCAN,VOLCAN COMPANIA MINERA S.A.A.,Arnold Hernández,EPIROC,ORDEN CONFIRMADA,GANADA,100.0,2363.0,2363.0,2026-09-30,2026-09,2026-09-01,,
OPP-0000000306,026-0012183,VENTAS-COMERCIALIZACION,BOWMAN FG120 HYDROMINING,HYDROMINING GROUP S.A.C.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,2500.0,2500.0,2026-09-30,2026-09,2026-08-31,,
OPP-0000000304,026-0012180,VENTAS-COMERCIALIZACION,ENFRIADOR BOWMAN FG120,FRESOMAC  S.A.C.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,1100.0,1100.0,2026-09-30,2026-09,2026-08-31,,
OPP-0000000269,026-0012145,VENTAS-COMERCIALIZACION,INTERCOOLER C6.6 JRC,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,1900.0,1900.0,2026-09-04,2026-09,2026-08-26,,
OPP-0000000258,026-0012133,VENTAS-COMERCIALIZACION,BOWMAN FG120 ASEGA,GRUPO ASEGA S.A.C.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,1300.0,1300.0,2026-08-25,2026-08,2026-08-24,,
OPP-0000000255,026-0012132,VENTAS-FABRICACION,RADIADOR R1600H 3TD 3F AESA,ADMINISTRACION DE EMPRESAS S.A.C.,Arnold Hernández,CAT,ORDEN CONFIRMADA,GANADA,100.0,6000.0,6000.0,2026-09-05,2026-09,2026-08-24,,
OPP-0000000246,026-0012121,VENTAS-COMERCIALIZACION,ORINGS VITON FG MINERA GIGANTE,MINERA GIGANTE SRL.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,50.0,50.0,2026-08-20,2026-08,2026-08-21,,
OPP-0000000240,026-0011881,VENTAS-COMERCIALIZACION,GHPE CB200 SECHE,KANAY S.A.C.,Arnold Hernández,ALFA LAVAL - BHE,ORDEN CONFIRMADA,GANADA,100.0,10000.0,10000.0,2027-01-31,2027-01,2026-08-21,,
OPP-0000000221,026-0012103,VENTAS-COMERCIALIZACION,VOLCAN ENFRIADOR GL140,VOLCAN COMPANIA MINERA S.A.A.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,4000.0,4000.0,2026-08-25,2026-08,2026-08-18,,
OPP-0000000220,026-0012101,VENTAS-COMERCIALIZACION,Oportunidad de HYDROMINING GROUP S.A.C.,HYDROMINING GROUP S.A.C.,Arnold Hernández,RESEMIN,ORDEN CONFIRMADA,GANADA,100.0,1500.0,1500.0,2026-08-22,2026-08,2026-08-18,,
OPP-0000000127,026-0012090,VENTAS-COMERCIALIZACION,IESA BOWMAN FG120,IESA S A,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,1150.0,1150.0,2026-08-13,2026-08,2026-08-13,,
OPP-0000000117,026-0012079,VENTAS-FABRICACION,RADIADOR COM. R1600H VOLCAN,VOLCAN COMPANIA MINERA S.A.A.,Arnold Hernández,CAT,ORDEN CONFIRMADA,GANADA,100.0,70000.0,70000.0,2026-08-19,2026-08,2026-08-11,,
OPP-0000000113,026-0012075,VENTAS-COMERCIALIZACION,ENFRIADOR GL140 BOWMAN JRC,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,BOWMAN,ORDEN CONFIRMADA,GANADA,100.0,2000.0,2000.0,2026-08-12,2026-08,2026-08-10,,
OPP-0000000105,026-0012073,VENTAS-COMERCIALIZACION,BOWMAN FG120,IESA S A,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,1200.0,1200.0,2026-08-17,2026-08,2026-08-07,,
OPP-0000000090,026-0012060,VENTAS-COMERCIALIZACION,ENFRIADOR S7D JRC,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,2000.0,2000.0,2026-09-04,2026-09,2026-08-05,,
OPP-0000000088,026-0012058,VENTAS-COMERCIALIZACION,INTERCOOLER C4.4,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,1500.0,1500.0,2026-08-14,2026-08,2026-08-04,,
OPP-0000000086,026-0012054,VENTAS-COMERCIALIZACION,OILCOOLER 8T,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,3200.0,3200.0,2026-08-11,2026-08,2026-08-04,,
OPP-0000000082,026-0012050,VENTAS-COMERCIALIZACION,VENTA JRC AFTERCOOLER R1600H,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,3800.0,3800.0,2026-08-14,2026-08,2026-08-03,,
OPP-0000000072,026-0012028,VENTAS-COMERCIALIZACION,Venta de Radiador de refrigerante y aftercooler - Cliente Volcan,VOLCAN COMPANIA MINERA S.A.A.,Arnold Hernández,HEATEX,ORDEN CONFIRMADA,GANADA,100.0,2840.0,2840.0,2026-08-11,2026-08,2026-07-30,,
