Cliente,Periodo,Monto_USD
RESEMIN S.A.,2026-08,47677.0
VOLCAN COMPANIA MINERA S.A.A.,2026-08,28057.63
COMPAÑIA MINERA CHUNGAR S.A.C.,2026-08,16747.25
CONSORCIO FRAP S.A.C.,2026-08,15253.6
JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,2026-08,14478.4
PERUPLAST S A,2026-08,9080.0
TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,2026-08,8870.0
SERVICIOS MINEROS RF S.A.C.,2026-08,7263.3
GESTION MINERA INTEGRAL S.A.C.,2026-08,7000.0
OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,2026-08,6378.02
ADMINISTRACION DE EMPRESAS S.A.C.,2026-08,6072.0
MINSUR S. A.,2026-08,5868.0
TP INTERCAMBIADORES S.A.C.,2026-08,5000.0
PAN AMERICAN SILVER HUARON S.A.,2026-08,4851.0
UNION DE CONCRETERAS S.A,2026-08,4410.0
VPTM IQUITOS S.A.C.,2026-08,3740.0
KANAY S.A.C.,2026-08,3636.0
XIAN BUSINESS CORPORATION S.A.C.,2026-08,2930.0
SERVICIOS Y EQUIPOS AMAZONICOS S.A.C,2026-08,2550.0
IESA S A,2026-08,2300.0
HYDROMINING GROUP S.A.C.,2026-08,1866.28
MAQUIRENA S.A.C.,2026-08,1800.0
HYDEXCORP S.A.C.,2026-08,1540.0
SALVADOR ZA FISHING S.A.C.,2026-08,1390.0
ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,2026-08,1390.0
GRUPO ASEGA S.A.C.,2026-08,1300.0
SISTEMAS CONVENCIONALES S.A.C.,2026-08,1150.0
INTERCAMBIADORES BALVIN S.R.L.,2026-08,1140.0
ANTESA S.A.C.,2026-08,740.41
L & G INTERNATIONAL PARTS S.A.C.,2026-08,734.83
MINERA CRC SOCIEDAD ANONIMA CERRADA,2026-08,727.5
RADIADORES ARNAO INDUSTRIAL S.A.C,2026-08,560.0
ITALMECAN S.A.C.,2026-08,550.0
RADIADORES INDUSTRIAL MBA SOCIEDAD ANONIMA CERRADA-RIMBASAC,2026-08,400.0
METAL TECNICA S A,2026-08,355.0
MUNDO CALOR PERU S.A.C.,2026-08,230.96
MINERA GIGANTE SRL.,2026-08,174.0
METALTEC ENGENEERING STEELS E.I.R.L.,2026-08,47.0
INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,2026-08,4.05
STRACON PERÚ S.A.,2026-08,0.0
OYOLA ALFARO RONAL RODY,2026-08,0.0
JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,2026-09,12893.0
GESTION MINERA INTEGRAL S.A.C.,2026-09,10170.0
COMPAÑIA MINERA CHUNGAR S.A.C.,2026-09,9723.5
ROBOCON SERVICIOS S.A.C.,2026-09,9580.0
RESEMIN S.A.,2026-09,9460.0
MICHELL Y CIA S.A.,2026-09,8184.0
ADMINISTRACION DE EMPRESAS S.A.C.,2026-09,6390.0
CATALINA HUANCA SOCIEDAD MINERA S.A.C.,2026-09,6370.0
TP INTERCAMBIADORES S.A.C.,2026-09,6310.47
VPTM IQUITOS S.A.C.,2026-09,5664.0
NEXA RESOURCES CAJAMARQUILLA S.A.,2026-09,5650.0
INDUSTRIA ESPECIALIZADA Y REPRESENTACIONES SOCIEDAD ANONIMA CERRADA,2026-09,3720.0
HYDROMINING GROUP S.A.C.,2026-09,3142.55
DRILLING CORP S.A.C.,2026-09,2464.0
VOLCAN COMPANIA MINERA S.A.A.,2026-09,2363.0
OVERPRIME MANUFACTURING S.A.C.,2026-09,2250.0
KOMATSU-MITSUI MAQUINARIAS PERU S.A.,2026-09,1840.0
LA LLAVE S.A.,2026-09,1790.0
L & M REPUESTOS Y SUMINISTROS S.A.C.,2026-09,1598.0
L & G INTERNATIONAL PARTS S.A.C.,2026-09,1325.55
FRESOMAC  S.A.C.,2026-09,1232.0
ARNAO SERVICES S.A.C,2026-09,1000.0
FAMAX SEAL PERU S.A.C,2026-09,954.0
MAQPOWER S.A.C.,2026-09,820.0
GEOTECH DRILLING PRODUCTS S.A.C.,2026-09,460.0
RADIADORES ARNAO INDUSTRIAL S.A.C,2026-09,0.0
