Producto,Codigo,Marca,Periodo,Cantidad,Monto_USD
SERVICIO REPARACION,92000001,,2026-08,17.0,59716.27
ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2026-08,33.0,36706.28
SERVICIO MANTENIMIENTO,91000001,,2026-08,14.0,28919.4
ENFRIADOR SISTEMA DE ACEITE P / C4.4 P / N.HTX- 656549 -91 v4,40600164,Heatex,2026-08,12.0,9600.0
SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,2026-08,2.0,9080.0
ENFRIADOR DE ACEITE HIDRAULICO PARKER 016 (A539016) (copiar),40600330,Heatex,2026-08,4.0,7992.0
ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,2026-08,3.0,7089.0
RADIADOR COMPLE ALUM. REFRIG R1600H 3860012,40600296,Heatex,2026-08,1.0,6072.0
RADIADOR REFRIGERANTE TD P/DUMPER EPIROC MT2200 6060007952,20100174,RINTUSAC,2026-08,1.0,5907.5
ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,2026-08,6.0,5880.0
RADIADOR AFTERCOOLER R1600H,20100078,RINTUSAC,2026-08,1.0,4693.0
RADIADOR DE SISTEMA REFRIGERANTE P / CAT C4.4 P / 236-7766 BAR AND PLATE,40600295,Heatex,2026-08,3.0,4410.0
Sin producto,,,2026-08,29.0,4196.0
COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600414,Heatex,2026-08,1.0,3542.4
AFTERCOOLER 21922701 P/  VOLVO PENTA,40600578,Heatex,2026-08,2.0,2550.0
INTERCOOLER DE AIRE C4.4 V02/COMPLETO CON TINA C/ALERO			 ,40600529,Heatex,2026-08,1.0,2190.0
ENFRIADOR COMPLETO ACEITE/AGUA/ACEITE BAP P/PAUS 853-S8 555-139 VER02,40600436,Heatex,2026-08,1.0,1850.0
COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600415,Heatex,2026-08,1.0,1800.0
RADIADOR DE REFRIGERANTE MANITOU ,40600542,Heatex,2026-08,1.0,1762.4
RADIADOR REFRIGERANTE P/CAT C6.6 365-2909 BAP C/ALEROS,40600311,Heatex,2026-08,1.0,1690.0
ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,2026-08,3.0,1670.0
ENFRIADOR OIL HIDR. BOWMAN FG120 3427-3 (3P),40200017,Bowman,2026-08,1.0,1540.0
RADIADOR DE REFRIGERANTE C4.4 V02/ COMPLETO CON TINA C/ALERO			 ,40600530,Heatex,2026-08,1.0,1390.0
ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3 (3P),40200016,Bowman,2026-08,1.0,1290.0
ENFRIADOR SISTEMA DE ACEITE HEATEX P / N. 133-0125,40600119,Heatex,2026-08,1.0,1140.0
ENFRIADOR DE AIRE MANITOU ,40600544,Heatex,2026-08,1.0,1097.72
VENTILADOR HEATEX P/ENFRIADOR HTX0367AH11 HYD,40600426,Heatex,2026-08,3.0,1080.0
SERVICIO DE FABRICACION (copiar),90000012,Otros,2026-08,100.66,734.83
