Sector,Periodo,Monto_USD
Mining,2026-08,73322.98
Metalmecánica / Siderurgia,2026-08,56694.41
Construcción / EPC / Contratistas,2026-08,25888.4
Servicios / Otros,2026-08,21480.96
Agroindustria y Alimentos,2026-08,15253.6
Petroquímica / Química,2026-08,12716.0
IT/Communication,2026-08,6072.0
Transportation/Logistics,2026-08,2550.0
Cemento y Materiales de Construcción,2026-08,1800.0
Pesca,2026-08,1390.0
Automotriz / Transporte,2026-08,734.83
Wholesale/Retail,2026-08,355.0
Manufacturing,2026-08,4.05
Mining,2026-09,29713.05
Servicios / Otros,2026-09,25606.0
Construcción / EPC / Contratistas,2026-09,23063.0
Metalmecánica / Siderurgia,2026-09,21072.47
Textil,2026-09,8184.0
IT/Communication,2026-09,6390.0
Automotriz / Transporte,2026-09,1325.55
